log_exp,wrk_type,hhsize,region
5.01094764358482,Inactive,1,West Midlands
5.52811093756173,Inactive,1,West Midlands
5.72872405983899,FT,1,West Midlands
6.39575169525485,FT,3,London
5.65593472211236,Inactive,2,West Midlands
6.40554185723101,FT,5,South East
5.05286430611548,Inactive,1,London
6.0445208928825,FT,1,London
7.06902342657826,FT,4,London
7.06902342657826,FT,3,South East
6.86718387867088,FT,3,West Midlands
7.0049183221404,Inactive,2,South East
6.09557509823075,FT,1,South East
6.99893986147957,FT,3,London
5.20459707820207,Inactive,1,West Midlands
6.59013670927311,PT,3,London
7.06902342657826,FT,3,South East
5.38368875177076,FT,1,London
7.06902342657826,PT,4,West Midlands
6.86360202531988,FT,4,South East
7.06902342657826,FT,5,London
5.72007311067379,FT,3,West Midlands
6.21052905066088,FT,1,London
7.06902342657826,FT,2,South East
4.99825901478884,Inactive,1,South East
6.7185979111789,FT,2,West Midlands
5.19289505088493,Inactive,1,London
5.03701264493683,Inactive,1,London
6.6257440273276,FT,4,West Midlands
4.97054217088156,Inactive,2,South East
6.04649327626046,Inactive,2,South East
6.18589014800998,FT,3,South East
6.60038820903427,Unemployed,2,London
5.47058020025697,FT,4,London
5.1198184502001,Inactive,2,West Midlands
6.9302430164509,FT,3,South East
5.47060961305676,Inactive,2,West Midlands
4.69597018523273,PT,1,South East
6.49425556884243,Inactive,3,South East
7.06902342657826,Inactive,1,West Midlands
6.04101075271724,FT,1,West Midlands
6.21453131324772,PT,3,South East
7.06902342657826,FT,2,South East
4.60494295680436,Inactive,1,West Midlands
5.34286583199437,FT,3,South East
5.63626948207796,FT,1,London
6.82904222789828,FT,2,South East
6.16299171525169,FT,4,South East
5.90115889830715,FT,3,South East
5.94529078063884,FT,3,West Midlands
7.00227413014352,Inactive,2,South East
6.60038820903427,Unemployed,2,London
5.84016515027317,FT,2,West Midlands
5.0841731734743,Inactive,1,London
4.13995506132544,Inactive,1,West Midlands
6.26578392375232,FT,4,London
6.72912932642919,FT,4,South East
6.12146157354194,PT,2,London
6.58360497136288,FT,2,South East
6.18589014800998,FT,3,South East
5.83289647112829,FT,1,West Midlands
6.99398023435589,Inactive,4,West Midlands
5.68534884393847,PT,2,West Midlands
4.8734615572463,PT,2,London
6.9675844328434,FT,4,West Midlands
5.85166705112229,FT,2,London
6.46994010729974,FT,3,London
5.47058020025697,FT,4,London
5.90186275957271,PT,3,South East
4.13995506132544,Inactive,1,West Midlands
6.55253766408545,Unemployed,1,London
5.75754633731511,Inactive,2,South East
5.93873139312076,FT,2,West Midlands
6.51797919609545,FT,3,West Midlands
5.42565738517823,FT,2,South East
5.7385619333663,Inactive,2,West Midlands
4.40078704490402,Inactive,1,West Midlands
5.22432092992204,Inactive,1,South East
7.06902342657826,FT,4,London
5.71367740903122,FT,2,London
4.13995506132544,Inactive,1,West Midlands
5.78214916170449,FT,2,South East
6.32634762670313,FT,5,London
6.37981669365673,Inactive,2,London
5.74946684738226,FT,1,South East
7.06902342657826,FT,3,South East
4.69875157737662,Inactive,5,West Midlands
5.23915264562143,Inactive,2,London
5.66845484094332,PT,1,South East
7.06902342657826,FT,4,London
5.34443731381842,Unemployed,1,West Midlands
6.0424939364364,FT,4,London
7.06902342657826,Inactive,2,London
5.00635940115876,Inactive,1,London
5.91020307055821,FT,3,London
5.46746976723911,Inactive,1,West Midlands
5.50035984296725,PT,3,South East
4.23040404658239,Inactive,1,South East
6.89022445638941,FT,3,London
7.06902342657826,FT,4,South East
5.97844265967369,Inactive,2,West Midlands
5.43648216385751,FT,2,West Midlands
5.32218290857511,FT,1,West Midlands
6.62490323861733,FT,3,London
5.25876922552852,Inactive,1,West Midlands
6.22339107022975,FT,4,West Midlands
6.20482141201546,Inactive,2,South East
5.77927476825887,Inactive,2,South East
6.43322452321421,FT,3,West Midlands
5.19865913222271,Inactive,2,London
6.40200363415793,FT,4,South East
5.86372983267424,Inactive,1,West Midlands
6.1125519859124,FT,2,West Midlands
6.37159922278652,FT,2,London
6.03673806905697,Inactive,2,South East
7.06902342657826,FT,4,West Midlands
6.24745513514523,FT,2,London
5.13571810078686,FT,1,South East
5.52017249053987,Inactive,1,South East
6.4600149610661,FT,2,South East
6.6774110295504,FT,3,South East
6.32634762670313,FT,5,London
6.20482141201546,Inactive,2,South East
5.86420884865096,Inactive,2,South East
6.06256198344977,FT,4,West Midlands
5.46746976723911,Inactive,1,West Midlands
6.89860557663709,Inactive,2,South East
4.32066289848446,PT,1,London
7.05600700233003,FT,4,London
6.47114553025118,Inactive,2,London
4.9615857884394,Inactive,1,West Midlands
5.81007066048091,Inactive,2,West Midlands
5.57210425131509,Inactive,2,London
5.83150115860014,FT,3,West Midlands
5.45863057237825,FT,2,South East
4.85171484600511,Inactive,1,South East
7.06902342657826,FT,3,West Midlands
5.73943890449601,Inactive,2,West Midlands
6.99521523495129,FT,4,South East
6.7510360770875,FT,2,London
6.10822370265819,FT,4,West Midlands
6.52568919275392,FT,4,South East
7.06902342657826,FT,3,South East
6.52945732976594,Inactive,2,South East
7.06902342657826,FT,3,West Midlands
5.97474551209105,FT,2,South East
6.52716593170693,FT,3,West Midlands
7.06902342657826,FT,5,London
5.52811093756173,Inactive,1,West Midlands
6.05709371511053,PT,4,West Midlands
6.18589014800998,FT,3,South East
6.21237373152398,FT,3,London
7.06677053750362,FT,2,South East
4.05534385660367,Inactive,2,London
5.96797838457982,FT,3,South East
6.43322452321421,FT,3,West Midlands
6.48489769895234,Inactive,2,South East
4.94312110438536,Inactive,1,London
7.06902342657826,Inactive,2,South East
5.30552119966214,Inactive,2,West Midlands
6.48821331423597,FT,3,London
6.18578819671039,Inactive,2,South East
5.89090991867219,FT,2,West Midlands
3.96460975158144,Unemployed,1,West Midlands
5.23742550855723,Unemployed,3,West Midlands
5.25244253864948,Inactive,4,London
6.82904222789828,FT,2,South East
7.06902342657826,FT,3,South East
6.55288282161368,FT,2,West Midlands
6.9675844328434,FT,4,West Midlands
5.97844265967369,Inactive,2,West Midlands
4.90149737579248,Inactive,1,South East
5.30552119966214,Inactive,2,West Midlands
6.52568919275392,FT,4,South East
6.12088258156551,FT,3,South East
7.06902342657826,FT,4,South East
6.3792933564927,FT,3,West Midlands
6.13217725700207,Inactive,2,London
4.88455052974809,Unemployed,2,South East
6.43379431809955,FT,3,West Midlands
5.93416433316145,Inactive,3,London
6.75452847848064,FT,3,London
6.06109555112669,Inactive,2,London
6.38772051079808,FT,3,London
6.04101075271724,FT,1,West Midlands
6.3441430975142,FT,4,South East
5.87300807650849,FT,3,West Midlands
5.7186812095138,FT,1,London
5.88013165939869,Inactive,4,West Midlands
5.65326648739365,FT,3,West Midlands
5.85454345248079,Unemployed,2,London
5.85166705112229,FT,2,London
6.5210159353871,FT,5,London
7.0049183221404,Inactive,2,South East
7.06902342657826,FT,4,West Midlands
6.47024445894917,PT,2,South East
5.70786197177077,Inactive,1,South East
5.3191733424948,Inactive,1,West Midlands
5.68275316756153,FT,1,London
6.14454523156373,FT,2,London
6.55288282161368,FT,2,West Midlands
6.58372616641033,FT,1,London
5.60309153181331,Inactive,5,West Midlands
5.77184128917099,FT,4,London
6.50646798559507,FT,2,London
6.18424264157658,FT,3,West Midlands
5.1198184502001,Inactive,2,West Midlands
5.57084137931213,Inactive,5,West Midlands
4.4726097399506,Inactive,1,London
6.44515455160993,PT,1,South East
6.61478139754326,Inactive,2,London
6.08545167799669,PT,3,South East
5.80393257072655,FT,1,South East
4.89102556358243,Inactive,1,West Midlands
5.57761600736006,Inactive,2,South East
6.1286866590174,FT,3,South East
5.96177820530051,PT,2,West Midlands
6.14784620899465,FT,2,South East
6.19877100983895,FT,4,South East
5.81025732892487,FT,2,West Midlands
6.14559042019619,Inactive,5,West Midlands
6.58855104505437,PT,5,West Midlands
6.10386453560173,Inactive,2,London
6.88958074213107,FT,3,London
6.20112243261277,Inactive,2,West Midlands
6.93229722759369,FT,2,South East
5.29046549994985,Inactive,2,London
4.78744990739361,Unemployed,2,West Midlands
4.54225071480963,Inactive,1,South East
4.91999117255368,Inactive,2,West Midlands
6.56433095398254,FT,1,South East
5.53321161453357,PT,4,London
6.47924095280677,FT,2,West Midlands
5.70786197177077,Inactive,1,South East
4.4266692631627,Inactive,1,London
6.43379431809955,FT,3,West Midlands
6.21760342484418,FT,3,South East
6.61841134463167,FT,1,London
7.01983981733329,FT,2,London
5.30186947623333,FT,1,South East
6.44883299298158,PT,1,South East
7.06902342657826,FT,2,South East
6.25871142223823,Inactive,1,South East
5.41267807594123,Unemployed,4,London
6.83641699908746,Inactive,2,South East
6.35855877616405,FT,5,West Midlands
7.06902342657826,FT,1,West Midlands
6.53769366413885,FT,3,South East
6.32458371713299,Inactive,2,South East
6.76952144092158,FT,2,London
5.22730456326175,Inactive,2,South East
5.70786197177077,Inactive,1,South East
6.419267609753,FT,1,London
5.64177059827148,FT,4,London
4.95194627617276,Inactive,1,West Midlands
5.6479875179494,Inactive,2,South East
6.33103941797046,FT,2,London
5.80907096623598,FT,3,South East
6.32634762670313,FT,5,London
4.26808779316666,Inactive,2,West Midlands
6.22084756457329,Inactive,1,London
5.96503434179298,Unemployed,1,West Midlands
6.33280771396379,FT,3,West Midlands
6.56854945110405,FT,4,South East
7.00170600354066,FT,3,West Midlands
4.5906147710754,Inactive,1,London
5.21136297257618,FT,2,London
5.77184128917099,FT,4,London
6.82771155914175,FT,4,South East
5.81458081522705,Inactive,1,London
4.85209976052048,Inactive,1,West Midlands
5.87348309890109,FT,1,London
4.90808567514792,PT,2,London
6.20343519558119,Inactive,2,South East
5.34604931894411,PT,1,West Midlands
5.17476712403413,Inactive,1,South East
6.33894297451487,FT,1,South East
5.22119330553309,Unemployed,1,West Midlands
6.02271638166502,Inactive,2,West Midlands
5.02255322999139,FT,1,South East
6.29196047917145,FT,2,South East
6.35855877616405,FT,5,West Midlands
7.06902342657826,Inactive,3,South East
5.60036776434348,Inactive,1,South East
7.06902342657826,FT,4,London
5.5281304604301,Inactive,3,South East
7.06902342657826,PT,1,South East
5.40849375899356,Inactive,3,West Midlands
6.82925747413321,FT,4,South East
6.34379332919594,FT,3,West Midlands
7.06902342657826,FT,1,London
5.85477116078578,FT,2,South East
6.14454523156373,FT,2,London
6.09434522200716,PT,3,South East
6.20565899468945,Inactive,5,South East
6.38837315335382,FT,3,West Midlands
5.10432682543256,Unemployed,1,West Midlands
6.45923121730205,FT,3,London
6.37852855996337,Inactive,5,South East
5.2378837712923,Inactive,1,West Midlands
5.39341050120442,Inactive,1,South East
5.59717663185315,Inactive,2,South East
4.24317388388501,Unemployed,1,London
7.06902342657826,FT,5,London
6.48357825651751,FT,3,South East
5.71367740903122,FT,2,London
7.06902342657826,FT,4,South East
6.41852224093161,Inactive,2,South East
5.29046549994985,Inactive,2,London
5.07933935977692,Inactive,1,South East
6.12296090383711,FT,1,London
5.9153151790396,FT,3,South East
6.99893986147957,FT,3,London
6.10052940536718,Unemployed,3,London
5.56396216570958,FT,5,South East
5.92351036851925,FT,1,West Midlands
5.0841731734743,Inactive,1,London
3.96460975158144,Unemployed,1,West Midlands
5.2378837712923,Inactive,1,West Midlands
6.42781188621021,FT,4,West Midlands
5.04566053941413,Inactive,1,London
4.92371013941921,Inactive,1,South East
3.95603989084492,Unemployed,1,London
5.92948167678196,FT,1,South East
7.06902342657826,Inactive,2,South East
6.59110725911461,Inactive,3,South East
5.87300807650849,FT,3,West Midlands
6.15221603501595,FT,5,South East
4.91999117255368,Inactive,2,West Midlands
6.43288072398407,FT,2,London
6.16914392167757,FT,1,London
4.16653226241309,Inactive,1,South East
5.61330997016036,PT,1,South East
6.59650925160672,FT,2,West Midlands
6.06594323911083,FT,3,London
5.7041426189436,PT,3,London
5.3251953277098,Inactive,1,South East
6.66966390893849,FT,4,London
6.82135790468296,FT,4,South East
4.48272181985983,Inactive,1,South East
6.05280044221933,FT,5,London
6.34686926020652,Unemployed,5,West Midlands
4.59987711914073,Inactive,1,South East
5.49530172285811,Unemployed,1,London
6.24146086666801,FT,2,London
5.1475311149788,Inactive,1,West Midlands
6.3575507996762,FT,1,South East
5.7458432523489,Inactive,2,West Midlands
6.8531291857517,Inactive,2,London
7.06902342657826,FT,3,West Midlands
6.32705443656759,FT,5,West Midlands
5.86072475169693,Inactive,1,London
6.96304399898478,Inactive,1,London
5.02255322999139,FT,1,South East
6.76921905605315,FT,3,South East
5.77184128917099,FT,4,London
6.68753637128594,Inactive,2,West Midlands
4.88773232424655,Inactive,1,West Midlands
6.37309155870951,FT,4,West Midlands
5.64225449973859,PT,2,London
6.87458419859388,FT,5,South East
5.92205840402655,Inactive,2,London
6.1125519859124,FT,2,West Midlands
6.1917994720387,FT,5,London
5.28419273712353,Inactive,2,West Midlands
6.71637055872078,Inactive,2,South East
7.06902342657826,FT,5,West Midlands
5.83286848739015,Inactive,2,West Midlands
6.5561032737158,FT,2,South East
5.93434690930651,FT,4,West Midlands
4.4266692631627,Inactive,1,London
4.33578636978431,Inactive,1,West Midlands
6.69286719962715,FT,3,London
5.86050639637944,FT,1,South East
6.75187799142397,FT,3,West Midlands
5.92261008505707,Inactive,3,West Midlands
5.84016515027317,FT,2,West Midlands
5.41033907303428,Inactive,1,South East
6.13217725700207,Inactive,2,London
6.629927407428,FT,4,South East
5.96986593238111,FT,1,London
6.19915446488392,FT,2,West Midlands
6.59598219313495,FT,5,South East
6.16216990032158,FT,3,South East
3.69262247839723,Inactive,1,West Midlands
4.76161552894744,Inactive,2,London
4.40078704490402,Inactive,1,West Midlands
5.84818812394843,FT,3,West Midlands
6.12751617397706,Inactive,2,West Midlands
6.34157807973988,FT,1,West Midlands
6.47114553025118,Inactive,2,London
6.10092227903791,FT,3,London
6.63743416179362,FT,2,South East
7.06902342657826,Inactive,2,London
6.72380162933016,FT,4,South East
5.37834742108413,FT,1,South East
6.06620473623183,FT,2,South East
6.02295113421972,FT,5,London
5.82097279635325,PT,5,South East
6.90302437934044,PT,2,South East
4.73329949759011,Inactive,3,London
6.5685677014424,FT,4,South East
5.15016536445417,Unemployed,1,London
5.96284845909364,Inactive,2,London
5.65959417816674,Inactive,1,West Midlands
6.5210159353871,FT,5,London
5.73943890449601,Inactive,2,West Midlands
5.80393257072655,FT,1,South East
5.74282740284774,FT,2,London
6.06987130195551,PT,3,London
6.6257440273276,FT,4,West Midlands
4.59987711914073,Inactive,1,South East
5.85116750370606,Inactive,1,South East
5.68031456296497,PT,2,South East
5.90908785458535,Inactive,1,West Midlands
5.84016515027317,FT,2,West Midlands
5.94529078063884,FT,3,West Midlands
6.75452847848064,FT,3,London
6.5629132129557,FT,4,London
5.80907096623598,FT,3,South East
5.13119351904223,Inactive,3,West Midlands
5.96986593238111,FT,1,London
5.65611419375771,Inactive,4,London
5.86050639637944,FT,1,South East
6.21914764479507,FT,2,West Midlands
6.75328905865456,FT,3,West Midlands
6.64080417435882,FT,2,South East
6.2508980025806,FT,4,South East
5.59715886417616,Unemployed,5,South East
6.1125519859124,FT,2,West Midlands
5.75373318320137,FT,5,London
6.65780378692519,FT,3,London
7.06575241609589,PT,5,South East
4.76029181240238,Unemployed,3,South East
6.89860557663709,Inactive,2,South East
4.75215141031222,Inactive,1,West Midlands
6.70928870918149,FT,4,West Midlands
5.98616104916331,FT,1,South East
7.06902342657826,PT,4,West Midlands
5.54736349746124,Inactive,2,London
5.41033907303428,Inactive,1,South East
7.06902342657826,FT,1,West Midlands
6.55577285147344,FT,4,South East
4.44230536070905,Inactive,1,London
5.54057474765564,PT,5,West Midlands
4.81143279475674,Inactive,2,London
7.06902342657826,PT,4,West Midlands
5.34286583199437,FT,3,South East
5.373160422204,FT,2,South East
7.04040030783299,FT,4,South East
6.6370837899319,Inactive,4,South East
7.06902342657826,FT,4,South East
5.82569830691149,PT,3,London
6.12751617397706,Inactive,2,West Midlands
6.66379170525423,FT,4,South East
7.06902342657826,FT,4,South East
6.71637055872078,Inactive,2,South East
6.31698718428578,FT,2,London
6.82714705295342,Inactive,2,West Midlands
5.5897242589837,FT,2,West Midlands
4.78881780561581,PT,1,West Midlands
5.56640907555103,Inactive,1,South East
6.08545167799669,PT,3,South East
6.22437246626672,FT,1,South East
5.85966653203606,FT,2,South East
6.39742249436296,FT,3,London
4.84273873595522,Inactive,1,South East
5.6249232586137,FT,3,West Midlands
5.83286848739015,Inactive,2,West Midlands
5.37834742108413,FT,1,South East
5.81680430223568,FT,1,South East
6.22553276446205,FT,2,West Midlands
4.82057156359849,Inactive,1,South East
6.47480655768741,PT,3,London
5.13563650126014,Unemployed,1,London
7.00227413014352,Inactive,2,South East
4.90948816611666,FT,1,West Midlands
7.06902342657826,Inactive,2,West Midlands
5.46225010632556,FT,5,London
6.68885731056718,FT,3,South East
5.13119351904223,Inactive,3,West Midlands
6.60038820903427,Unemployed,2,London
4.93136971967917,Inactive,4,South East
6.73863921104957,FT,5,South East
6.61199821086298,FT,4,West Midlands
7.06902342657826,PT,4,London
6.10976821272956,Inactive,2,South East
6.62689396768274,FT,3,London
6.7863772729208,FT,4,West Midlands
5.02501424843689,Inactive,1,South East
6.48821331423597,FT,3,London
4.68448318694806,Inactive,1,West Midlands
5.52821806612499,FT,1,South East
6.48384211645223,PT,4,South East
4.34911601852458,Inactive,2,West Midlands
7.06902342657826,PT,1,South East
6.46421460745045,FT,3,South East
6.32705443656759,FT,5,West Midlands
6.61785851633013,FT,4,West Midlands
6.59013670927311,PT,3,London
